date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:50:14	4519/4519	---MCZ	403	error ('Forbidden')	text/html	date:Sun,%2023%20Feb%202025%2017:20:14%20GMT	https://kit.fontawesome.com/a076d05399.js	C:/Users/perfect/Desktop/bestcri/kit.fontawesome.com/a076d05399.9.delayed	(from https://besttipperonline.xyz/anna_punjabi.html)
22:50:24	26886/26886	---M-Z	200	added ('OK')	text/css	etag:%226906-67a1ce2b-9471147af33f9978;gz%22	https://besttipperonline.xyz/style.css	C:/Users/perfect/Desktop/bestcri/besttipperonline.xyz/style.css	(from https://besttipperonline.xyz/anna_punjabi.html)
22:50:30	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63c84b7a-26e459391922c307;gz%22	https://besttipperonline.xyz/voice_effect.mp3	C:/Users/perfect/Desktop/bestcri/besttipperonline.xyz/voice_effect.b.delayed	(from https://besttipperonline.xyz/anna_punjabi.html)
22:50:33	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63c84b7a-26e459391922c307;gz%22	https://besttipperonline.xyz/assets/vendor/bootstrap/js/bootstrap.bundle.min.js	C:/Users/perfect/Desktop/bestcri/besttipperonline.xyz/assets/vendor/bootstrap/js/bootstrap.bundle.min.d.delayed	(from https://besttipperonline.xyz/anna_punjabi.html)
22:50:33	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63c84b7a-26e459391922c307;gz%22	https://besttipperonline.xyz/assets/vendor/swiper/swiper-bundle.min.js	C:/Users/perfect/Desktop/bestcri/besttipperonline.xyz/assets/vendor/swiper/swiper-bundle.min.js	(from https://besttipperonline.xyz/anna_punjabi.html)
22:50:33	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63c84b7a-26e459391922c307;gz%22	https://besttipperonline.xyz/assets/vendor/glightbox/js/glightbox.min.js	C:/Users/perfect/Desktop/bestcri/besttipperonline.xyz/assets/vendor/glightbox/js/glightbox.min.js	(from https://besttipperonline.xyz/anna_punjabi.html)
22:50:33	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63c84b7a-26e459391922c307;gz%22	https://besttipperonline.xyz/assets/vendor/aos/aos.js	C:/Users/perfect/Desktop/bestcri/besttipperonline.xyz/assets/vendor/aos/aos.js	(from https://besttipperonline.xyz/anna_punjabi.html)
22:50:33	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63c84b7a-26e459391922c307;gz%22	https://besttipperonline.xyz/assets/vendor/php-email-form/validate.js	C:/Users/perfect/Desktop/bestcri/besttipperonline.xyz/assets/vendor/php-email-form/validate.js	(from https://besttipperonline.xyz/anna_punjabi.html)
22:50:34	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63c84b7a-26e459391922c307;gz%22	https://besttipperonline.xyz/assets/js/main.js	C:/Users/perfect/Desktop/bestcri/besttipperonline.xyz/assets/js/main.js	(from https://besttipperonline.xyz/anna_punjabi.html)
22:50:43	58327/58327	---M--	200	added ('OK')	image/jpeg	etag:%22e3d7-67a461e5-854ad525517c4bc7;;;%22	https://besttipperonline.xyz/top_tipper_bg.jpg	C:/Users/perfect/Desktop/bestcri/besttipperonline.xyz/top_tipper_bg.jpg	(from https://besttipperonline.xyz/anna_punjabi.html)
